Voltage(V),SoE (%)
4.186892,99.99992514
4.161385,99.98436913
4.159986,99.96876536
4.158839,99.95314957
4.157875,99.93752028
4.156903,99.92184918
4.156063,99.9061906
4.15524,99.89055681
4.154541,99.8749769
4.153737,99.85936864
4.153268,99.84377455
4.152647,99.82819885
4.152103,99.81258431
4.151525,99.79700559
4.150975,99.78139257
4.150569,99.76574871
4.150166,99.75015656
4.149743,99.73458184
4.14923,99.71900615
4.148777,99.70339161
4.148376,99.68779568
4.147923,99.67227279
4.147534,99.65669893
4.147031,99.64114196
4.146634,99.62548554
4.146108,99.60995551
4.145761,99.59437949
4.145404,99.5787458
4.145022,99.56317497
4.144614,99.54761886
4.144303,99.5320673
4.143962,99.51650751
4.143662,99.50091677
4.143401,99.4854417
4.143117,99.46974255
4.142896,99.45422983
4.142551,99.43867664
4.142269,99.4231756
4.141945,99.40758281
4.141676,99.3919145
4.141335,99.37636823
4.141082,99.36083722
4.14079,99.34524995
4.140415,99.32970726
4.140093,99.31415775
4.139769,99.29864968
4.139477,99.28309778
4.139221,99.2674998
4.139007,99.25198697
4.138783,99.23638357
4.138441,99.22082584
4.138155,99.20531755
4.137978,99.18978676
4.137833,99.1742854
4.137675,99.15873643
4.137428,99.14310252
4.137154,99.12754111
4.136979,99.11200718
4.136664,99.09649273
4.136494,99.08098714
4.13624,99.06539879
4.135976,99.04985923
4.135613,99.03440688
4.135325,99.01875848
4.135119,99.00332096
4.134847,98.98771789
4.134708,98.97226218
4.13446,98.9566391
4.134238,98.94112096
4.133994,98.92564871
4.133832,98.91006382
4.133611,98.89451452
4.133554,98.87897496
4.1334,98.86349275
4.133169,98.84796077
4.132984,98.83238443
4.132709,98.81699094
4.132524,98.80138322
4.132308,98.78586855
4.132079,98.77025541
4.13182,98.75477212
4.131564,98.73929748
4.13134,98.72377199
4.13119,98.70827031
4.130972,98.69279134
4.130697,98.67716955
4.130508,98.66166462
4.130307,98.64610667
4.130192,98.63067531
4.129962,98.61509897
4.129816,98.59953994
4.129693,98.58407828
4.129523,98.56856361
4.129338,98.55312144
4.129118,98.53748883
4.128983,98.52205206
4.128774,98.50656119
4.128595,98.49097619
4.128472,98.47544854
4.128125,98.45999987
4.127897,98.4445274
4.12765,98.42898243
4.12744,98.41349048
4.127307,98.39789683
4.127125,98.38241353
4.126963,98.36693349
4.126779,98.35143829
4.126604,98.33597339
4.126441,98.32037
4.126302,98.30495487
4.126258,98.28940558
4.126092,98.27395474
4.125911,98.25844656
4.12571,98.24299898
4.125521,98.22745076
4.125381,98.21196206
4.125181,98.19642575
4.124957,98.18094462
4.124677,98.16539966
4.124424,98.14995964
4.124294,98.13445254
4.124133,98.11897899
4.12395,98.10346865
4.12377,98.08800375
4.123656,98.07248475
4.123441,98.05702418
4.123269,98.04147813
4.123184,98.02600674
4.123113,98.01050613
4.122958,97.99504123
4.122759,97.9795666
4.122584,97.9639935
4.122435,97.94850263
4.122313,97.93305937
4.122118,97.91762477
4.121942,97.90202138
4.121629,97.88653051
4.121531,97.87110564
4.121233,97.85559963
4.121108,97.84019316
4.120934,97.82469255
4.120785,97.80924605
4.120611,97.79372272
4.120461,97.77819831
4.120339,97.76274315
4.120169,97.7472631
4.120049,97.7317203
4.120014,97.71623593
4.119809,97.70074506
4.119665,97.68535265
4.119513,97.66983041
4.119374,97.65433413
4.119206,97.63886166
4.119064,97.62337187
4.1188,97.60803465
4.118641,97.59251781
4.118209,97.57702695
4.118206,97.56152526
4.118079,97.54600302
4.117852,97.53065173
4.117729,97.51513489
4.117632,97.49959858
4.117477,97.48411745
4.117286,97.46864823
4.117126,97.45327205
4.117116,97.43776928
4.116998,97.42230222
4.116773,97.40686978
4.116647,97.39141353
4.116549,97.37592483
4.116399,97.36049997
4.116202,97.34501018
4.116101,97.32954745
4.115886,97.31404792
4.115676,97.29860899
4.115404,97.28313544
4.115291,97.26771706
4.115101,97.25217643
4.114971,97.23675372
4.114846,97.22123148
4.114723,97.20582825
4.114499,97.1904088
4.114324,97.17487357
4.114285,97.15939244
4.114245,97.14400869
4.114156,97.1284832
4.113903,97.1131027
4.113833,97.0976259
4.113653,97.08209716
4.113497,97.06671233
4.113362,97.05131343
4.113224,97.03584204
4.112923,97.02032088
4.112741,97.00491332
4.112552,96.98950685
4.112388,96.97398785
4.112305,96.95848184
4.112101,96.94309809
4.111935,96.92757368
4.111836,96.91214665
4.111683,96.89676182
4.111595,96.88126662
4.111465,96.86578008
4.111423,96.85043853
4.11129,96.83491845
4.11112,96.81952821
4.111,96.80401787
4.110832,96.78867415
4.110695,96.77315732
4.110526,96.75767727
4.110378,96.74229352
4.110153,96.72679941
4.10989,96.71144162
4.109799,96.69593236
4.109615,96.68054645
4.109401,96.66503827
4.109317,96.64965885
4.109175,96.6341788
4.109076,96.61881453
4.108922,96.60333881
4.108744,96.58784902
4.108734,96.5725118
4.108688,96.55701552
4.108539,96.54165341
